"Handle","Name","Current Rating","Max Rating","Rank","Max Rank","Country","City","Organization","Contribution","Friend Count"
"","Kangyang Zhou","3696","3844","legendary grandmaster","legendary grandmaster","China","Hangzhou","Explosive Vegetable Club","30","6547"
"","Jiangqi Dai","3682","3682","legendary grandmaster","legendary grandmaster","Samoa","Falefa","National University of Samoa","105","14153"
"","Qiwen Xu","3647","3647","legendary grandmaster","legendary grandmaster","China","","ksun48 fan club","126","1945"
"","Mateusz Radecki","3631","3759","legendary grandmaster","legendary grandmaster","Poland","Warsaw","University of Warsaw","87","12472"
"","Kevin Sun","3574","3691","legendary grandmaster","legendary grandmaster","Canada","","MIT","31","6420"
"","Jay Leeds","3569","3569","legendary grandmaster","legendary grandmaster","United States","Austin","Swarthmore College","106","7317"
"","Riku Kawasaki","3565","3650","legendary grandmaster","legendary grandmaster","Japan","Tokyo","AtCoder","139","5227"
"","DearMargaret","3545","3545","legendary grandmaster","legendary grandmaster","Taiwan","Taipei","","0","1476"
"","Benjamin Qi","3527","3833","legendary grandmaster","legendary grandmaster","United States","Princeton","MIT","100","17433"
"","Andrew He","3526","3668","legendary grandmaster","legendary grandmaster","United States","Cupertino","MIT","30","9707"
"","gyh20","3447","3447","legendary grandmaster","legendary grandmaster","China","Chongqing","Chongqing Bashu Middle School","37","1168"
"","Aleksei Daniliuk","3418","3663","legendary grandmaster","legendary grandmaster","United Kingdom","London","Um_nik Training Center","143","16952"
"","Xiangwen Wang","3401","3401","legendary grandmaster","legendary grandmaster","China","Hangzhou","Hangzhou No.2 High School","0","1268"
"","Fedor Romashov","3397","3641","legendary grandmaster","legendary grandmaster","Russia","Barnaul","Higher School of Economics","103","2176"
"","maspy","3349","3489","legendary grandmaster","legendary grandmaster","Japan","Tokyo","","102","2951"
"","Yui Hin Arvin Leung","3321","3321","legendary grandmaster","legendary grandmaster","Hong Kong","","University of Cambridge","108","1246"
"","Mingyang Deng","3296","3659","legendary grandmaster","legendary grandmaster","Antigua and Barbuda","","Jiangly Fan Club","72","5251"
"","Yui Tamura","3275","3275","legendary grandmaster","legendary grandmaster","Japan","Osaka","Osaka MUCT","55","305"
"","Nuo Chen","3231","3235","legendary grandmaster","legendary grandmaster","China","Beijing","Tsinghua University","121","1672"
"","squareOf105","3223","3223","legendary grandmaster","legendary grandmaster","","","No.12345 Floating Island","0","99"
"","Yahor Dubovik","3187","3278","legendary grandmaster","legendary grandmaster","Belarus","Gomel","Harbour.Space University","28","1615"
"","Deren Cai","3180","3180","legendary grandmaster","legendary grandmaster","China","","Peking University","0","785"
"","Szoboszlai10","3163","3163","legendary grandmaster","legendary grandmaster","Antarctica","","Horváth Gyula Fan Club","0","110"
"","Yixin Chen","3150","3313","legendary grandmaster","legendary grandmaster","China","Nanjing","Nanjing University","0","766"
"","Sijin Peng","3146","3262","legendary grandmaster","legendary grandmaster","China","Beijing","Jiangly Fan Club","2","359"
"","emptyhope","3141","3225","legendary grandmaster","legendary grandmaster","China","Hangzhou","Explosive Vegetable Club","100","424"
"","StarSilk","3137","3144","legendary grandmaster","legendary grandmaster","China","","Beijing JiaoTong University","103","2061"
"","Péter Gyimesi","3136","3136","legendary grandmaster","legendary grandmaster","Hungary","","ELTE","36","1131"
"","LorentzianExpanders","3134","3134","legendary grandmaster","legendary grandmaster","","","","101","160"
"","YiXuan Chen","3120","3168","legendary grandmaster","legendary grandmaster","China","Beijing","Capital Normal University High School","4","212"
"","Elegia","3109","3177","legendary grandmaster","legendary grandmaster","China","Beijing","The Affiliated High School of Peking University","97","2001"
"","bowen jiang","3104","3154","legendary grandmaster","legendary grandmaster","China","Shanghai","","23","429"
"","Lin Wu","3102","3172","legendary grandmaster","legendary grandmaster","China","Beijing","Beijing National Dianjing School","5","270"
"","Ziji Wang","3096","3096","legendary grandmaster","legendary grandmaster","China","Beijing","RDFZ","2","293"
"","Petr Mitrichev","3093","3597","legendary grandmaster","legendary grandmaster","Switzerland","Zurich","Google","125","13001"
"","Anyi Xu","3093","3093","legendary grandmaster","legendary grandmaster","China","Hangzhou","Hangzhou No.2 High School","0","436"
"","Maohua Wang","3092","3222","legendary grandmaster","legendary grandmaster","China","Yantai","","15","393"
"","Flamire","3088","3114","legendary grandmaster","legendary grandmaster","","","","36","456"
"","Dilhan S","3082","3260","legendary grandmaster","legendary grandmaster","United States","","","75","2028"
"","shiomusubi496","3082","3082","legendary grandmaster","legendary grandmaster","Japan","","","0","101"
"","Xuanming Cao","3079","3079","legendary grandmaster","legendary grandmaster","China","Weifang","Jiangly Fan Club","2","286"
"","Kentaro Matsushita","3074","3353","legendary grandmaster","legendary grandmaster","Japan","Tokyo","The University of Tokyo","13","1231"
"","Makoto Soejima","3074","3115","legendary grandmaster","legendary grandmaster","Japan","Tokyo","AtCoder","13","4773"
"","Ashley Khoo","3073","3119","legendary grandmaster","legendary grandmaster","Singapore","Singapore","NEET","150","1375"
"","Yu Hang Sheng","3073","3073","legendary grandmaster","legendary grandmaster","Taiwan","Taipei","National Central University","0","828"
"","JoesSR","3072","3072","legendary grandmaster","legendary grandmaster","","","","3","240"
"","Anton Trygub","3066","3116","legendary grandmaster","legendary grandmaster","Ukraine","Kyiv","MIT","104","3508"
"","Qingyu Shi","3065","3065","legendary grandmaster","legendary grandmaster","","","Universal Cup","158","1121"
"","Suyi Wang","3063","3063","legendary grandmaster","legendary grandmaster","China","Hangzhou","Hangzhou No.2 High School","37","262"
"","Huarui Lu","3056","3056","legendary grandmaster","legendary grandmaster","China","Fuzhou","FZYZ OI Group","4","37"